,School Name,Address,School type,Board,School Type,School Type.1,Established year,Address1,Details,School_type,P/G,Board,Co-Educational,Established
2612,QIS High School,"89-9-786, Kurnool Road, Ongole
Prakasam - 523272, Andhra Pradesh, India
Phone: (08592) 221175
Details:
High Secondary School
Andhra Pradesh Board of Secondary Education
Private School
Co-Educational School",High Secondary School,Andhra Pradesh Board of Secondary Education,Private School,Co-Educational School,,"89-9-786, Kurnool Road, Ongole
Prakasam - 523272, Andhra Pradesh, India
Phone: (08592) 221175
","High Secondary School
Andhra Pradesh Board of Secondary Education
Private School
Co-Educational School",High Secondary School,Private School,Andhra Pradesh Board of Secondary Education,Co-Educational School,
2613,QS International School,"8-168, Shine Nagar Bus Stop, Barkas
Hyderabad - 500036, Andhra Pradesh, India
Phone: (040) 24441900, 65182798
Mobile : 9390675810, 9966312662
Details:
Class V - Class X
CBSE Board
Private School
Co-Educational School",Class V - Class X,CBSE Board,Private School,Co-Educational School,,"8-168, Shine Nagar Bus Stop, Barkas
Hyderabad - 500036, Andhra Pradesh, India
Phone: (040) 24441900, 65182798
Mobile : 9390675810, 9966312662
","Class V - Class X
CBSE Board
Private School
Co-Educational School",Class V - Class X,Private School,CBSE Board,Co-Educational School,
2614,Quaint High School,"20-3-140/1, Shah Gunj
Hyderabad - 500002, Andhra Pradesh, India
Phone: (040) 24520235
Details:
High Secondary School
Andhra Pradesh Board of Secondary Education
Private School
Co-Educational School",High Secondary School,Andhra Pradesh Board of Secondary Education,Private School,Co-Educational School,,"20-3-140/1, Shah Gunj
Hyderabad - 500002, Andhra Pradesh, India
Phone: (040) 24520235
","High Secondary School
Andhra Pradesh Board of Secondary Education
Private School
Co-Educational School",High Secondary School,Private School,Andhra Pradesh Board of Secondary Education,Co-Educational School,
2615,Queen Marys School,"Ngos Colony, Cuddapah
Kadapa - 516001, Andhra Pradesh, India
Phone: (08562) 253469
Details:
Class V - Class X
CBSE Board
Private School
Co-Educational School",Class V - Class X,CBSE Board,Private School,Co-Educational School,,"Ngos Colony, Cuddapah
Kadapa - 516001, Andhra Pradesh, India
Phone: (08562) 253469
","Class V - Class X
CBSE Board
Private School
Co-Educational School",Class V - Class X,Private School,CBSE Board,Co-Educational School,
2616,Queens International School,"Opp. Sathya Sai Nigam Main Gate No. 2, Sri Nagar Colony, Banjara Hills
Hyderabad - 500030, Andhra Pradesh, India
Phone: (040) 23752955
Mobile : 9246502955
Details:
Nursery - Class X
ICSE/ISC Board
Private School
Co-Educational School",Nursery - Class X,ICSE/ISC Board,Private School,Co-Educational School,,"Opp. Sathya Sai Nigam Main Gate No. 2, Sri Nagar Colony, Banjara Hills
Hyderabad - 500030, Andhra Pradesh, India
Phone: (040) 23752955
Mobile : 9246502955
","Nursery - Class X
ICSE/ISC Board
Private School
Co-Educational School",Nursery - Class X,Private School,ICSE/ISC Board,Co-Educational School,
2617,Quest High School,"20-4-598, Fateh Darwaza, Shah Gunj, Bhawani Nagar, (Quresh Building) Jubilee
Hyderabad - 500002, Andhra Pradesh, India
Phone: (040) 24411631
Details:
High Secondary School
Andhra Pradesh Board of Secondary Education
Private School
Co-Educational School",High Secondary School,Andhra Pradesh Board of Secondary Education,Private School,Co-Educational School,,"20-4-598, Fateh Darwaza, Shah Gunj, Bhawani Nagar, (Quresh Building) Jubilee
Hyderabad - 500002, Andhra Pradesh, India
Phone: (040) 24411631
","High Secondary School
Andhra Pradesh Board of Secondary Education
Private School
Co-Educational School",High Secondary School,Private School,Andhra Pradesh Board of Secondary Education,Co-Educational School,
2618,Quli Qutub Shah Urdu Residential School,"#202, Government Education Society, Complex Barkas
Hyderabad - 500005, Andhra Pradesh, India
Phone: (040) 24443851
Details:
High Secondary School
Andhra Pradesh Board of Secondary Education
Private School
Boys Only School",High Secondary School,Andhra Pradesh Board of Secondary Education,Private School,Boys Only School,,"#202, Government Education Society, Complex Barkas
Hyderabad - 500005, Andhra Pradesh, India
Phone: (040) 24443851
","High Secondary School
Andhra Pradesh Board of Secondary Education
Private School
Boys Only School",High Secondary School,Private School,Andhra Pradesh Board of Secondary Education,,
2619,Rabindranath High School,"15-8-254-255, Begum Bazar, Feelkhana, Nampally
Hyderabad - 500001, Andhra Pradesh, India
Phone: (040) 24606576
Details:
High Secondary School
Andhra Pradesh Board of Secondary Education
Private School
Co-Educational School",High Secondary School,Andhra Pradesh Board of Secondary Education,Private School,Co-Educational School,,"15-8-254-255, Begum Bazar, Feelkhana, Nampally
Hyderabad - 500001, Andhra Pradesh, India
Phone: (040) 24606576
","High Secondary School
Andhra Pradesh Board of Secondary Education
Private School
Co-Educational School",High Secondary School,Private School,Andhra Pradesh Board of Secondary Education,Co-Educational School,
2620,Racy Kids Preschool,"Opp. Karnataka Bank, KPHB 9th Phase
Hyderabad - 500072, Andhra Pradesh, India
Phone: (040) 64599889
Mobile : 9246119889
Details:
Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,Co-Educational School,,,"Opp. Karnataka Bank, KPHB 9th Phase
Hyderabad - 500072, Andhra Pradesh, India
Phone: (040) 64599889
Mobile : 9246119889
","Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,,Co-Educational School,
2621,Radcliffe School,"6-30, 31 and 32 Opposite IDPL R and D Centre, Balanagar
Hyderabad - 500037, Andhra Pradesh, India
Phone: (040) 23772703, 23772709
Mobile : 9346176330, 9393909991
Details:
Play - Class X
CBSE Board
Private School
Co-Educational School",Play - Class X,CBSE Board,Private School,Co-Educational School,,"6-30, 31 and 32 Opposite IDPL R and D Centre, Balanagar
Hyderabad - 500037, Andhra Pradesh, India
Phone: (040) 23772703, 23772709
Mobile : 9346176330, 9393909991
","Play - Class X
CBSE Board
Private School
Co-Educational School",Play - Class X,Private School,CBSE Board,Co-Educational School,
2622,Radha Institute for The Mentally Retarded,"Kothapet, Saroor Nagar, Near Telephone Exchange
Hyderabad - 500035, Andhra Pradesh, India
Phone: (040) 24046006
Details:
Private School (School for Gifted Children)
Co-Educational School",Private School (School for Gifted Children),Co-Educational School,,,,"Kothapet, Saroor Nagar, Near Telephone Exchange
Hyderabad - 500035, Andhra Pradesh, India
Phone: (040) 24046006
","Private School (School for Gifted Children)
Co-Educational School",,Private School (School for Gifted Children),,Co-Educational School,
2623,Radiance School,"King Koti
Hyderabad - 500001, Andhra Pradesh, India
Phone: (040) 23297602
Details:
Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,Co-Educational School,,,"King Koti
Hyderabad - 500001, Andhra Pradesh, India
Phone: (040) 23297602
","Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,,Co-Educational School,
2624,Radiant International Montessori School,"Sheikpet Road, Tolichowki, Beside Majestic Garden Function Hall
Hyderabad - 500008, Andhra Pradesh, India
Phone: (040) 65402199
Mobile : 9177917517
Details:
Play - Nursery
Private School (Montessori)
Co-Educational School",Play - Nursery,Private School (Montessori),Co-Educational School,,,"Sheikpet Road, Tolichowki, Beside Majestic Garden Function Hall
Hyderabad - 500008, Andhra Pradesh, India
Phone: (040) 65402199
Mobile : 9177917517
","Play - Nursery
Private School (Montessori)
Co-Educational School",Play - Nursery,Private School (Montessori),,Co-Educational School,
2625,Raghava Concept School,"2-22-152/2, Plot No. 72, Near Huda Park, Pipeline Road, Subhodaya Colony, Kukatpally
Hyderabad - 500072, Andhra Pradesh, India
Phone: (040) 23162838
Mobile : 9949532838, 9640879398
Details:
High Secondary School
CBSE Board
Private School
Co-Educational School",High Secondary School,CBSE Board,Private School,Co-Educational School,,"2-22-152/2, Plot No. 72, Near Huda Park, Pipeline Road, Subhodaya Colony, Kukatpally
Hyderabad - 500072, Andhra Pradesh, India
Phone: (040) 23162838
Mobile : 9949532838, 9640879398
","High Secondary School
CBSE Board
Private School
Co-Educational School",High Secondary School,Private School,CBSE Board,Co-Educational School,
2626,Raghunatha Model High School,"H.No. 1556, Chaitanyapuri, Dilsukhnagar
Hyderabad - 500060, Andhra Pradesh, India
Phone: (040) 24040103
Details:
High Secondary School
Andhra Pradesh Board of Secondary Education
Private School
Co-Educational School",High Secondary School,Andhra Pradesh Board of Secondary Education,Private School,Co-Educational School,,"H.No. 1556, Chaitanyapuri, Dilsukhnagar
Hyderabad - 500060, Andhra Pradesh, India
Phone: (040) 24040103
","High Secondary School
Andhra Pradesh Board of Secondary Education
Private School
Co-Educational School",High Secondary School,Private School,Andhra Pradesh Board of Secondary Education,Co-Educational School,
2627,Rahmat Nagar Public School,"3-3-228/201, Rahmath Nagar, Padmavati Nagar
Hyderabad - 500001, Andhra Pradesh, India
Phone: (040) 23833476
Details:
High Secondary School
CBSE Board
Private School
Co-Educational School",High Secondary School,CBSE Board,Private School,Co-Educational School,,"3-3-228/201, Rahmath Nagar, Padmavati Nagar
Hyderabad - 500001, Andhra Pradesh, India
Phone: (040) 23833476
","High Secondary School
CBSE Board
Private School
Co-Educational School",High Secondary School,Private School,CBSE Board,Co-Educational School,
2628,Rahul Vignan Vidyalayam,"Charla
Khammam - 507133, Andhra Pradesh, India
Phone: (08747) 257406, 257644
Mobile : 9347627999
Details:
High Secondary School
Private School
Co-Educational School",High Secondary School,Private School,Co-Educational School,,,"Charla
Khammam - 507133, Andhra Pradesh, India
Phone: (08747) 257406, 257644
Mobile : 9347627999
","High Secondary School
Private School
Co-Educational School",High Secondary School,Private School,,Co-Educational School,
2629,Railway Boys High School,"Main Road, North Lalaguda, Railway Enclave
Hyderabad - 500017, Andhra Pradesh, India
Phone: (040) 27789238
Details:
Play - Class X
CBSE Board
Private School
Boys Only School",Play - Class X,CBSE Board,Private School,Boys Only School,,"Main Road, North Lalaguda, Railway Enclave
Hyderabad - 500017, Andhra Pradesh, India
Phone: (040) 27789238
","Play - Class X
CBSE Board
Private School
Boys Only School",Play - Class X,Private School,CBSE Board,,
2630,Railway Colony High School,"302, Railway Block, Chilkalguda
Hyderabad - 500025, Andhra Pradesh, India
Phone: (040) 27505785, 27615785
Details:
High Secondary School
Andhra Pradesh Board of Secondary Education
Private School
Co-Educational School",High Secondary School,Andhra Pradesh Board of Secondary Education,Private School,Co-Educational School,,"302, Railway Block, Chilkalguda
Hyderabad - 500025, Andhra Pradesh, India
Phone: (040) 27505785, 27615785
","High Secondary School
Andhra Pradesh Board of Secondary Education
Private School
Co-Educational School",High Secondary School,Private School,Andhra Pradesh Board of Secondary Education,Co-Educational School,
2631,Railway Girl's' High School,"Laladuda, Secunderabad, Zinda Tilasmath, Amberpet
Hyderabad - 500013, Andhra Pradesh, India
Phone: (040) 27007803
Details:
High Secondary School
Andhra Pradesh Board of Secondary Education
Private School
Girls Only School",High Secondary School,Andhra Pradesh Board of Secondary Education,Private School,Girls Only School,,"Laladuda, Secunderabad, Zinda Tilasmath, Amberpet
Hyderabad - 500013, Andhra Pradesh, India
Phone: (040) 27007803
","High Secondary School
Andhra Pradesh Board of Secondary Education
Private School
Girls Only School",High Secondary School,Private School,Andhra Pradesh Board of Secondary Education,,
2632,Railway Junior College,"Lallaguda, Tarnaka Road
Secunderabad - 500017, Andhra Pradesh, India
Phone: (040) 27018804, 27824231
Details:
Senior Secondary School
Andhra Pradesh Board of Intermediate Education
Private School
Co-Educational School",Senior Secondary School,Andhra Pradesh Board of Intermediate Education,Private School,Co-Educational School,,"Lallaguda, Tarnaka Road
Secunderabad - 500017, Andhra Pradesh, India
Phone: (040) 27018804, 27824231
","Senior Secondary School
Andhra Pradesh Board of Intermediate Education
Private School
Co-Educational School",Senior Secondary School,Private School,Andhra Pradesh Board of Intermediate Education,Co-Educational School,
2633,Railway Mixed High School,"South Lalaguda Main Road
Hyderabad - 500017, Andhra Pradesh, India
Phone: (040) 27789237
Details:
High Secondary School
Andhra Pradesh Board of Secondary Education
Private School
Co-Educational School",High Secondary School,Andhra Pradesh Board of Secondary Education,Private School,Co-Educational School,,"South Lalaguda Main Road
Hyderabad - 500017, Andhra Pradesh, India
Phone: (040) 27789237
","High Secondary School
Andhra Pradesh Board of Secondary Education
Private School
Co-Educational School",High Secondary School,Private School,Andhra Pradesh Board of Secondary Education,Co-Educational School,
2634,Rain Drops Play School,"10-1-1197, AC Guards, Lakdikapul, Opp. Saleem Mansion
Hyderabad - 500004, Andhra Pradesh, India
Mobile : 8142157125
Details:
Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,Co-Educational School,,,"10-1-1197, AC Guards, Lakdikapul, Opp. Saleem Mansion
Hyderabad - 500004, Andhra Pradesh, India
Mobile : 8142157125
","Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,,Co-Educational School,
2635,Rainbow Concept School,"H.No. 8-7-90/1/1, Near SBH Bank, Tirumala Colony, Rajarajeshwari Nagar, Bowenpally
Hyderabad - 500011, Andhra Pradesh, India
Phone: (040) 67110986
Details:
Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,Co-Educational School,,,"H.No. 8-7-90/1/1, Near SBH Bank, Tirumala Colony, Rajarajeshwari Nagar, Bowenpally
Hyderabad - 500011, Andhra Pradesh, India
Phone: (040) 67110986
","Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,,Co-Educational School,
2636,Rainbow EM Concept School,"Behing RTC Bustand, Pattikonda
Kurnool - 518380, Andhra Pradesh, India
Mobile : 9885298887
Details:
Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,Co-Educational School,,,"Behing RTC Bustand, Pattikonda
Kurnool - 518380, Andhra Pradesh, India
Mobile : 9885298887
","Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,,Co-Educational School,
2637,Rainbow IIT Concept School,"H-No. 8-7-112/1, Pranav Nagi Reddy Complex, Nagi Reddy Colony, Old Bowenpally
Secunderabad - 500011, Andhra Pradesh, India
Phone: (040) 69596699
Details:
Nursery - Class X
CBSE Board
Private School
Co-Educational School",Nursery - Class X,CBSE Board,Private School,Co-Educational School,,"H-No. 8-7-112/1, Pranav Nagi Reddy Complex, Nagi Reddy Colony, Old Bowenpally
Secunderabad - 500011, Andhra Pradesh, India
Phone: (040) 69596699
","Nursery - Class X
CBSE Board
Private School
Co-Educational School",Nursery - Class X,Private School,CBSE Board,Co-Educational School,
2638,Rainbow International School,"Ameenpur Village Road, Beeramguda (v Raghavendra Colony) Phase 2, Patancheru
Hyderabad - 502032, Andhra Pradesh, India
Mobile : 9652222599, 6303335492
Details:
Nursery - Class X
CBSE Board
Private School
Co-Educational School",Nursery - Class X,CBSE Board,Private School,Co-Educational School,,"Ameenpur Village Road, Beeramguda (v Raghavendra Colony) Phase 2, Patancheru
Hyderabad - 502032, Andhra Pradesh, India
Mobile : 9652222599, 6303335492
","Nursery - Class X
CBSE Board
Private School
Co-Educational School",Nursery - Class X,Private School,CBSE Board,Co-Educational School,
2639,Rainbow Junior College,"H.No. 48-62, Papaiah Yadav Nagar, Behind IDPL Colony
Hyderabad - 500037, Andhra Pradesh, India
Phone: (040) 23080194
Mobile : 98484642323
Details:
Senior Secondary School
Andhra Pradesh Board of Intermediate Education
Private School
Co-Educational School",Senior Secondary School,Andhra Pradesh Board of Intermediate Education,Private School,Co-Educational School,,"H.No. 48-62, Papaiah Yadav Nagar, Behind IDPL Colony
Hyderabad - 500037, Andhra Pradesh, India
Phone: (040) 23080194
Mobile : 98484642323
","Senior Secondary School
Andhra Pradesh Board of Intermediate Education
Private School
Co-Educational School",Senior Secondary School,Private School,Andhra Pradesh Board of Intermediate Education,Co-Educational School,
2640,Rainbow Kids Paradise,"H.No. 48-62, Papaiah Yadav Nagar, Behind IDPL Colony
Hyderabad - 500037, Andhra Pradesh, India
Phone: (040) 23080194
Mobile : 98484642323
Details:
Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,Co-Educational School,,,"H.No. 48-62, Papaiah Yadav Nagar, Behind IDPL Colony
Hyderabad - 500037, Andhra Pradesh, India
Phone: (040) 23080194
Mobile : 98484642323
","Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,,Co-Educational School,
2641,Rainbow Kids Play School,"8-3-231/A/82, Opposite Indoor Stadium, Yousuf Guda
Hyderabad - 500073, Andhra Pradesh, India
Phone: (040) 65554446
Mobile : 8885589227
Details:
Play School
Private School
Co-Educational School",Play School,Private School,Co-Educational School,,,"8-3-231/A/82, Opposite Indoor Stadium, Yousuf Guda
Hyderabad - 500073, Andhra Pradesh, India
Phone: (040) 65554446
Mobile : 8885589227
","Play School
Private School
Co-Educational School",Play School,Private School,,Co-Educational School,
2642,Rainbow Model High School,"48-62, Pappaiah Yadaiah Nagar Behind IDPL Colony, Chintal
Hyderabad - 500054, Andhra Pradesh, India
Mobile : 9948127264
Details:
High Secondary School
Andhra Pradesh Board of Secondary Education
Private School
Co-Educational School",High Secondary School,Andhra Pradesh Board of Secondary Education,Private School,Co-Educational School,,"48-62, Pappaiah Yadaiah Nagar Behind IDPL Colony, Chintal
Hyderabad - 500054, Andhra Pradesh, India
Mobile : 9948127264
","High Secondary School
Andhra Pradesh Board of Secondary Education
Private School
Co-Educational School",High Secondary School,Private School,Andhra Pradesh Board of Secondary Education,Co-Educational School,
2643,Rainbow Play School,"Plot No. 127, 22-1-127/1, First Floor, Above Vasireddy Sweets, Bhagyanagar Colony, Kukatpally
Hyderabad - 500072, Andhra Pradesh, India
Phone: (040) 32944228
Details:
Play School
Private School
Co-Educational School",Play School,Private School,Co-Educational School,,,"Plot No. 127, 22-1-127/1, First Floor, Above Vasireddy Sweets, Bhagyanagar Colony, Kukatpally
Hyderabad - 500072, Andhra Pradesh, India
Phone: (040) 32944228
","Play School
Private School
Co-Educational School",Play School,Private School,,Co-Educational School,
2644,Rainbow Public School,"Chakalipalem Road, Drivers Colony, Bapatla
Guntur - 522101, Andhra Pradesh, India
Phone: (08643) 224999
Details:
Class V - Class X
ICSE/ISC Board
Private School
Co-Educational School",Class V - Class X,ICSE/ISC Board,Private School,Co-Educational School,,"Chakalipalem Road, Drivers Colony, Bapatla
Guntur - 522101, Andhra Pradesh, India
Phone: (08643) 224999
","Class V - Class X
ICSE/ISC Board
Private School
Co-Educational School",Class V - Class X,Private School,ICSE/ISC Board,Co-Educational School,
2645,Raja Bahadur Sir Bansilal Balika Vidyalaya School,"Aruna
Hyderabad - 500067, Andhra Pradesh, India
Phone: (040) 40123377
Details:
High Secondary School
Andhra Pradesh Board of Secondary Education
Private School
Co-Educational School",High Secondary School,Andhra Pradesh Board of Secondary Education,Private School,Co-Educational School,,"Aruna
Hyderabad - 500067, Andhra Pradesh, India
Phone: (040) 40123377
","High Secondary School
Andhra Pradesh Board of Secondary Education
Private School
Co-Educational School",High Secondary School,Private School,Andhra Pradesh Board of Secondary Education,Co-Educational School,
2646,Raja Kandaswamy Upper Primary School,"K.S. Garden, SLT Bazar
Hyderabad - 500001, Andhra Pradesh, India
Phone: (040) 24752969
Details:
Primary School
Private School
Co-Educational School",Primary School,Private School,Co-Educational School,,,"K.S. Garden, SLT Bazar
Hyderabad - 500001, Andhra Pradesh, India
Phone: (040) 24752969
","Primary School
Private School
Co-Educational School",Primary School,Private School,,Co-Educational School,
2647,Raja Little Lamps High School,"Vaikunta Puram, Mr Palli
Tirupati - 517501, Andhra Pradesh, India
Phone: (0877) 2244765
Details:
High Secondary School
Andhra Pradesh Board of Secondary Education
Private School
Co-Educational School",High Secondary School,Andhra Pradesh Board of Secondary Education,Private School,Co-Educational School,,"Vaikunta Puram, Mr Palli
Tirupati - 517501, Andhra Pradesh, India
Phone: (0877) 2244765
","High Secondary School
Andhra Pradesh Board of Secondary Education
Private School
Co-Educational School",High Secondary School,Private School,Andhra Pradesh Board of Secondary Education,Co-Educational School,
2648,Rajadhani Model School,"29-500/A/2, Dinakar Nagar, Basheer Bagh
Hyderabad - 500001, Andhra Pradesh, India
Phone: (040) 27228181
Details:
High Secondary School
CBSE Board
Private School
Co-Educational School",High Secondary School,CBSE Board,Private School,Co-Educational School,,"29-500/A/2, Dinakar Nagar, Basheer Bagh
Hyderabad - 500001, Andhra Pradesh, India
Phone: (040) 27228181
","High Secondary School
CBSE Board
Private School
Co-Educational School",High Secondary School,Private School,CBSE Board,Co-Educational School,
2649,Rajadhani Residential School,"2-79, Near Nizampet Gram Panchayat Office, Behing Bandari Layout, Nizampet
Hyderabad - 500090, Andhra Pradesh, India
Phone: (040) 48560298
Mobile : 7702577170, 6302764257
Details:
Nursery - Class X
CBSE Board
Private School
Co-Educational School
Established in 1988",Nursery - Class X,CBSE Board,Private School,Co-Educational School,Established in 1988,"2-79, Near Nizampet Gram Panchayat Office, Behing Bandari Layout, Nizampet
Hyderabad - 500090, Andhra Pradesh, India
Phone: (040) 48560298
Mobile : 7702577170, 6302764257
","Nursery - Class X
CBSE Board
Private School
Co-Educational School
Established in 1988",Nursery - Class X,Private School,CBSE Board,Co-Educational School,Established in 1988
2650,Rajasree Vidya Mandir,"#4-11-20, Hayat Nagar
Hyderabad - 500036, Andhra Pradesh, India
Phone: (040) 24200751
Mobile : 9391015041, 9346359299
Details:
Nursery - Class X
Andhra Pradesh Board of Secondary Education
Private School
Co-Educational School",Nursery - Class X,Andhra Pradesh Board of Secondary Education,Private School,Co-Educational School,,"#4-11-20, Hayat Nagar
Hyderabad - 500036, Andhra Pradesh, India
Phone: (040) 24200751
Mobile : 9391015041, 9346359299
","Nursery - Class X
Andhra Pradesh Board of Secondary Education
Private School
Co-Educational School",Nursery - Class X,Private School,Andhra Pradesh Board of Secondary Education,Co-Educational School,
2651,Rajasthan Hindi Vidyalaya,"30-3-703, Charminar
Hyderabad - 500002, Andhra Pradesh, India
Phone: (040) 24578584
Details:
Nursery - Class XII
Private School
Co-Educational School",Nursery - Class XII,Private School,Co-Educational School,,,"30-3-703, Charminar
Hyderabad - 500002, Andhra Pradesh, India
Phone: (040) 24578584
","Nursery - Class XII
Private School
Co-Educational School",Nursery - Class XII,Private School,,Co-Educational School,
2652,Rajasthani Model School,"4-5-148, Sultan Bazaar, Hasmathgunj, Behind Gokulchat Opposite Kinti Jewller, Hasmathgunj
Hyderabad - 500001, Andhra Pradesh, India
Phone: (040) 24754903
Details:
CBSE Board
Private School
Co-Educational School",CBSE Board,Private School,Co-Educational School,,,"4-5-148, Sultan Bazaar, Hasmathgunj, Behind Gokulchat Opposite Kinti Jewller, Hasmathgunj
Hyderabad - 500001, Andhra Pradesh, India
Phone: (040) 24754903
","CBSE Board
Private School
Co-Educational School",CBSE Board,Private School,CBSE Board,Co-Educational School,
2653,Raju Marpally Vijay Model School,"331, Moula Ali, Malkajgiri
Hyderabad - 500047, Andhra Pradesh, India
Phone: (040) 27138008
Details:
Class V - Class X
CBSE Board
Private School
Co-Educational School",Class V - Class X,CBSE Board,Private School,Co-Educational School,,"331, Moula Ali, Malkajgiri
Hyderabad - 500047, Andhra Pradesh, India
Phone: (040) 27138008
","Class V - Class X
CBSE Board
Private School
Co-Educational School",Class V - Class X,Private School,CBSE Board,Co-Educational School,
2654,Rajya Lakshmi Junior College,"MVP Colony
Vishakhapatnam - 530017, Andhra Pradesh, India
Phone: (0891) 2552718
Details:
Senior Secondary School
Andhra Pradesh Board of Intermediate Education
Private School
Co-Educational School",Senior Secondary School,Andhra Pradesh Board of Intermediate Education,Private School,Co-Educational School,,"MVP Colony
Vishakhapatnam - 530017, Andhra Pradesh, India
Phone: (0891) 2552718
","Senior Secondary School
Andhra Pradesh Board of Intermediate Education
Private School
Co-Educational School",Senior Secondary School,Private School,Andhra Pradesh Board of Intermediate Education,Co-Educational School,
2655,Ralla Bella International School - RBIS,"Campus 1:- Opposite Defence Officers Flats, Near VUDA Park, East Point Colony, Chinnawaltair
Vishakhapatnam - 530017, Andhra Pradesh, India
Phone: (0891) 2522177
Mobile : 9348511177, 8309404592
Details:
Play - Class X
CBSE Board
Private School
Co-Educational School",Play - Class X,CBSE Board,Private School,Co-Educational School,,"Campus 1:- Opposite Defence Officers Flats, Near VUDA Park, East Point Colony, Chinnawaltair
Vishakhapatnam - 530017, Andhra Pradesh, India
Phone: (0891) 2522177
Mobile : 9348511177, 8309404592
","Play - Class X
CBSE Board
Private School
Co-Educational School",Play - Class X,Private School,CBSE Board,Co-Educational School,
2656,Ram Nagar Public School,"1-7-1002/38/A/2/1, Azamabad, Ram Nagar, Nallakunta
Hyderabad - 500044, Andhra Pradesh, India
Phone: (040) 27604925
Details:
Class V - Class X
Andhra Pradesh Board of Secondary Education
Private School
Co-Educational School",Class V - Class X,Andhra Pradesh Board of Secondary Education,Private School,Co-Educational School,,"1-7-1002/38/A/2/1, Azamabad, Ram Nagar, Nallakunta
Hyderabad - 500044, Andhra Pradesh, India
Phone: (040) 27604925
","Class V - Class X
Andhra Pradesh Board of Secondary Education
Private School
Co-Educational School",Class V - Class X,Private School,Andhra Pradesh Board of Secondary Education,Co-Educational School,
2657,Rama Public English Medium School,"3rd Lane, Kedhareswaripeta
Vijayawada - 520003, Andhra Pradesh, India
Phone: (0866) 2539596
Details:
Class V - Class X
Andhra Pradesh Board of Secondary Education
Private School
Co-Educational School",Class V - Class X,Andhra Pradesh Board of Secondary Education,Private School,Co-Educational School,,"3rd Lane, Kedhareswaripeta
Vijayawada - 520003, Andhra Pradesh, India
Phone: (0866) 2539596
","Class V - Class X
Andhra Pradesh Board of Secondary Education
Private School
Co-Educational School",Class V - Class X,Private School,Andhra Pradesh Board of Secondary Education,Co-Educational School,
2658,Ramachandra Kidzee School,"Near Children Park
Nellore - 524002, Andhra Pradesh, India
Phone: (0861) 2328818
Details:
Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,Co-Educational School,,,"Near Children Park
Nellore - 524002, Andhra Pradesh, India
Phone: (0861) 2328818
","Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,,Co-Educational School,
2659,Ramadevi Public School,"NH-65, Near Ramoji Film City Main Gate, Hayathnagar
Hyderabad - 501512, Andhra Pradesh, India
Mobile : 7670820884, 7670820885, 9989990738
Details:
High Secondary School
ICSE/ISC Board
Private School
Co-Educational School
Established in 2002",High Secondary School,ICSE/ISC Board,Private School,Co-Educational School,Established in 2002,"NH-65, Near Ramoji Film City Main Gate, Hayathnagar
Hyderabad - 501512, Andhra Pradesh, India
Mobile : 7670820884, 7670820885, 9989990738
","High Secondary School
ICSE/ISC Board
Private School
Co-Educational School
Established in 2002",High Secondary School,Private School,ICSE/ISC Board,Co-Educational School,Established in 2002
2660,Ramakrishna and Sri Ramakrishna School,"58-18-21, Near NSTL, NAD Kotha Road
Vishakhapatnam - 530027, Andhra Pradesh, India
Phone: (0891) 2574107, 2769769, 2574467
Mobile : 9848532315
Details:
Nursery - Class X
Andhra Pradesh Board of Secondary Education
Private School
Co-Educational School",Nursery - Class X,Andhra Pradesh Board of Secondary Education,Private School,Co-Educational School,,"58-18-21, Near NSTL, NAD Kotha Road
Vishakhapatnam - 530027, Andhra Pradesh, India
Phone: (0891) 2574107, 2769769, 2574467
Mobile : 9848532315
","Nursery - Class X
Andhra Pradesh Board of Secondary Education
Private School
Co-Educational School",Nursery - Class X,Private School,Andhra Pradesh Board of Secondary Education,Co-Educational School,
2661,Ramakrishna Mission High School,"Near Collector Office, Maharanipeta
Vishakhapatnam - 530002, Andhra Pradesh, India
Phone: (0891) 2706855
Details:
High Secondary School
Andhra Pradesh Board of Secondary Education
Private School
Co-Educational School",High Secondary School,Andhra Pradesh Board of Secondary Education,Private School,Co-Educational School,,"Near Collector Office, Maharanipeta
Vishakhapatnam - 530002, Andhra Pradesh, India
Phone: (0891) 2706855
","High Secondary School
Andhra Pradesh Board of Secondary Education
Private School
Co-Educational School",High Secondary School,Private School,Andhra Pradesh Board of Secondary Education,Co-Educational School,
